"'Icheon Headquarters (Icheon, Korea)","'[Factories 1, 2, 46,484 m2 state-of-the-art facilities Production of elevators, automated material handling system, parking systems, platform screen doors (PSD), etc. - Hyundai Asan Tower Hyundai Customer Care Center (CCC)",
"'Brazil Factory (São Leopoldo, Brazil)","'13,337 m² state-of-the-art facilities Production of elevators",
"'China Factory (Shanghai, China)","'- 28,716 m² state-of-the-art facilities Production of elevators and escalators Elevator test tower (72 m high)",
,

'Confidence Scores % (Table Cell)
""'49.78027344","'50.68359375",
"'48.46191406","'49.34082031",
"'86.27929688","'87.84179688",
