'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Header 1,"'HYUNDAI ELEVATOR LUXEN",'0,'67.82226563
'1,'Header 2,"'WHY HYUNDAI ELEVATOR",'1,'71.53320313
'1,'Title 1,"'There is a reason why Hyundai Elevator is customers' preferred choice",'2,'59.91210938
'1,'Figure 1,"",'3,'47.75390625
'1,'Figure 2,"",'4,'88.52539063
'1,'Figure 3,"",'5,'70.55664063
'1,'Section header 1,"'MANUFACTURING PLANTS",'6,'59.08203125
'1,'Text 1,"'Icheon Headquarters (Icheon, Korea)",'7,'61.52343750
'1,'List 1,"",'8,'41.77246094
'1,'Text 2 - Part of List 1,"'[Factories 1, 2, 46,484 m2 state-of-the-art facilities",'9,'60.49804688
'1,'Text 3 - Part of List 1,"'Production of elevators, automated material handling system, parking systems, platform screen doors (PSD), etc.",'10,'78.85742188
'1,'Text 4 - Part of List 1,"'- Hyundai Asan Tower",'11,'69.18945313
'1,'Text 5 - Part of List 1,"'Hyundai Customer Care Center (CCC)",'12,'71.14257813
'1,'Text 6,"'Brazil Factory 13,337 m² state-of-the-art facilities (São Leopoldo, Brazil) Production of elevators",'13,'31.27441406
'1,'Table 1,"",'14,'42.33398438
'1,'Section header 2,"'World-class elevator technology",'15,'65.47851563
'1,'Text 7,"'Hyundai Elevator has the world's most advanced high-speed elevator technology. It built Hyundai Asan Tower, in April 2009 to thoroughly evaluate and validate the safety and reliability of its products under conditions that closely replicate those of a high-rise building. THE EL 1080 high-speed elevator The world's fastest elevator (1,080 m/min.) THE EL DUO double-deck elevator 1.8 times more loading capacity through 2 vertically integrated elevators",'16,'25.34179688
'1,'Text 8,"'Production system and sales network that spans across borders",'17,'44.94628906
'1,'Text 9,"'In addition to state-of-the-art production facilities in Korea, Hyundai Elevator built manufacturing facilities in China and Brazil to supply its unparelleled products worldwide. The company strives to better meet the needs of global customers through localization and by maximizing synergy among its 7 overseas subsidiaries and 58 sales networks.",'18,'93.16406250
'1,'Section header 3,"'OVERSEAS BRANCHES",'19,'45.89843750
'1,'Text 10,"'CHINA SHANGHAI HYUNDAI ELEVATOR CO., LTD. INDONESIA PT. HYUNDAI ELEVATOR INDONESIA INDIA KINTETIC HYUNDAI ELEVATOR & MOVEMENT TECHNOLOGIES LIMITED MALAYSIA HYUNDAI ELEVATOR [MALAYSIA] SDN. BHD BRAZIL HYUNDAI ELEVADORES DO BRASIL LTDA. VIETNAM HYUNDAI THANH CONG ELEVATOR VIETNAM CO., LIMITED TURKEY HYUNDAI ELEVATOR [TURKEY] ASANSOR SERVIS SAN. VE TIC. A.S.",'20,'76.70898438
'1,'Figure 4,"",'21,'49.60937500
'1,'Page number 1,"'04",'22,'88.52539063
'1,'Footer 1,"'05",'23,'36.15722656
